"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-21 08:00:00","0.07122","0.99607","0.01547","0","218.08791"
"2024-05-21 09:00:00","0.09452","0.99756","0.01547","0","219.11512"
"2024-05-21 10:00:00","0","1","0.01547","0","219.51143"
"2024-05-21 11:00:00","6.77288","0.9968","1.13944","699.35795","220.23439"
"2024-05-21 12:00:00","0","1","0.01547","0","221.49886"
"2024-05-21 13:00:00","0","1","0.01547","0","219.68795"
"2024-05-21 14:00:00","0.06022","0.99762","0.01547","0","220.42067"
"2024-05-21 15:00:00","2.3321","0.99658","0.7647","282.4907","220.19263"
"2024-05-21 16:00:00","2.95585","0.99645","0.63995","263.41317","220.91688"
"2024-05-21 17:00:00","16.39267","0.98653","1.88892","2206.55531","221.16964"
"2024-05-21 18:00:00","8.89284","0.99227","1.51392","1019.02346","223.29344"
"2024-05-21 19:00:00","7.84331","0.99175","1.51418","837.43591","223.57257"
"2024-05-21 20:00:00","4.91397","0.99449","1.26444","596.45051","223.9475"
"2024-05-21 21:00:00","10.69555","0.987","1.38866","1491.2799","223.19622"
"2024-05-21 22:00:00","6.50484","0.98942","1.51444","824.61999","223.34429"
"2024-05-21 23:00:00","10.60618","0.99425","1.51418","1125.35434","222.40401"
"2024-05-22 00:00:00","9.23226","0.98865","1.63918","1132.34742","223.38636"
"2024-05-22 01:00:00","8.98926","0.98981","1.63866","1115.85943","223.74502"
"2024-05-22 02:00:00","18.04087","0.976","2.51289","2492.36698","222.36982"
"2024-05-22 03:00:00","3.92841","0.99748","1.01444","426.78639","220.98874"
"2024-05-22 04:00:00","7.68497","0.9949","1.13918","757.6585","222.18114"
"2024-05-22 05:00:00","12.67873","0.98515","3.01315","1395.58507","221.87602"
"2024-05-22 06:00:00","4.30905","0.99798","0.5147","445.35187","220.71738"
"2024-05-22 07:00:00","0","1","0.01547","0","219.1292"
"2024-05-22 08:00:00","0","1","0.01547","0","218.87667"
"2024-05-22 09:00:00","0","1","0.01547","0","218.87622"
"2024-05-22 10:00:00","0","1","0.01547","0","219.96347"
"2024-05-22 11:00:00","0","1","0.01547","0","220.59126"
"2024-05-22 12:00:00","0","1","0.01547","0","221.62359"
"2024-05-22 13:00:00","0","1","0.01547","0","221.03906"
"2024-05-22 14:00:00","3.39756","0.99683","0.63995","363.05811","219.29645"
"2024-05-22 15:00:00","0.06631","0.99756","0.01547","0","219.53206"
"2024-05-22 16:00:00","0.06017","0.99736","0.01547","0","220.30396"
"2024-05-22 17:00:00","15.31053","0.98873","2.76315","1722.58023","221.8841"
"2024-05-22 18:00:00","7.20818","0.99246","1.01444","783.74381","221.75174"
"2024-05-22 19:00:00","6.46155","0.99259","1.51444","804.56226","222.06487"
"2024-05-22 20:00:00","6.64283","0.98397","1.76366","953.80294","221.65519"
"2024-05-22 21:00:00","5.7291","0.99132","1.51392","659.94471","223.01995"
